code,IDR_before,DSR_brfore,change_IDR,change_DSR,IDR_after,DSR_after
AE,0.032679972673803424,0.06011722920338248,2.12356296958466,1.785153866329196,0.06939797981712753,0.10731850414541667
HK,0.2394294489631481,0.5099244829518792,2.12356296958466,1.785153866329196,0.5084435116462015,0.9102936622774633
ES,0.21195043447319775,0.03787252185064689,2.12356296958466,1.785153866329196,0.45009009403466266,0.06760827880931926
GB,0.29262267439219436,0.14920101410791461,2.12356296958466,1.785153866329196,0.6214026754000932,0.2663467671949807
DE,0.29520373815556433,0.05301594489381584,2.12356296958466,1.785153866329196,0.6268837268301225,0.09464161900429094
FR,0.37555330605867093,0.044361137457598364,2.12356296958466,1.785153866329196,0.7975110938512878,0.07919145604719263
CA,0.09549488278729314,0.13370888077815726,2.12356296958466,1.785153866329196,0.20278939687192324,0.23869092548367696
EU_others,0.13312874464794103,0.015524428589703928,2.12356296958466,1.785153866329196,0.28270727232165954,0.027713493719461472
NZ,0.4065145278788068,0.4083893465008143,2.12356296958466,1.785153866329196,0.863259198001625,0.7290378208735824
US,0.150715139111749,0.06652371783009065,0,0,0,0
TR,0.12577423719761185,0.003749991801985037,0,0,0,0
AU,0.4695731257332741,0.06061446461383756,0,0,0,0
KR,0.32378983691236546,0.02605370960826007,0,0,0,0
NA_others,0.03300455771846137,0.007861947367676054,0,0,0,0
MA,0.014635959923536015,0.0011774305355279945,0,0,0,0
JP,0.17218907531130123,0.14606309261788675,0,0,0,0
OC_others,0.0281900783598284,0,0,0,0,0
CL,0.164113740425606,0.05036453254505922,0,0,0,0
MX,0.01915001988778249,0.021332518313336334,0,0,0,0
AR,0.10941704892613306,0.014735995248550881,0,0,0,0
ZA,0.0242117217265853,0.019732084446108095,0,0,0,0
SA_others,0.03074662705599947,0.014929804268315203,0,0,0,0
BR,0.05203919392297534,0.022270560967691044,0,0,0,0
AS_others,0.02763195928397839,0.004914088509919988,0,0,0,0
NG,5.566341452166432e-4,0.015637062870924798,0,0,0,0
PG,0.004554001063224836,0.0500957727802046,0,0,0,0
AF_others,0.002869052328774671,0.005175390466027272,0,0,0,0
IN,0.011097392077044674,0.020189614720246222,0,0,0,0
TN,0.047797560389979295,0.007474272675236967,0,0,0,0
