profile_para,mle_transformed,CI_low_transformed,CI_high_transformed,delta,se_stat,se_mc,se,mle,CI_low,CI_high
eta_two,3.3066516516516513,3.2894844844844844,3.3238188188188187,744.3225173359775,1.5363048943673222e-4,0.0030203955761778137,0.0030243002106072536,0.5161861861861862,0.5112812812812813,0.5210910910910911
eta_three,4.311636636636637,4.261606606606606,4.370005005005005,858.7094254163892,1.733502546803105e-4,0.0036612404752170286,0.003665342020625789,0.33078078078078077,0.32489489489489487,0.33764764764764765
eta_four,1.5626876876876876,1.4861711711711711,1.628903903903904,5070.690017539185,5.56384799237967e-4,0.028582053328618816,0.02858746817269471,0.7084584584584585,0.6574474474474474,0.7526026026026026
epsilon_four,101.20454545454545,-Inf,Inf,-62581.38902172412,NA,0.1406644313949036,0.14066227282910967,0.99,-Inf,Inf
lambda_one,0.18941581581581582,0.1863943943943944,0.1921625625625626,1084.0672615242872,2.5111469684543393e-4,0.005960491513737003,0.005965778882618983,0.6407707707707707,0.6299799799799799,0.6505805805805805
lambda_two,0.4808873873873874,0.47765015015015017,0.48412462462462463,689.4837660252292,1.7238468216037217e-4,0.0032615334709525435,0.003266085893051081,0.29252252252252253,0.28663663663663663,0.2984084084084084
lambda_three,0.3723,0.3723,0.39824694694694696,20204.34093710629,6.94110933157661e-4,0.07118647563847069,0.0711898595574827,0.01,0.01,0.1228128128128128
lambda_four,0.1418970970970971,0.12514194194194195,0.1624976976976977,7335.83887643319,6.702826620233719e-4,0.04141836222065761,0.04142378553305585,0.47106106106106105,0.4112212212212212,0.5446346346346346
iota_one,0.895,0.405,0.895,2406144.804731512,0.0020495510694942868,2.293962731000412,2.293963646590428,0.99,0.01,0.99
iota_two,0.4165215215215215,0.20904404404404403,0.495,44297.93065210149,0.0010807417849193262,0.16412364504425297,0.1641272033071228,0.833043043043043,0.41808808808808806,0.99
iota_three,0.7929999999999999,-Inf,Inf,-1118332.0380645404,NA,1.5096244377773587,1.5096231413930012,0.99,-Inf,Inf
iota_four,0.21783483483483482,0.19311411411411408,0.2481471471471471,7071.690724478459,7.955111715382912e-4,0.04826316872425778,0.048269724396667275,0.726116116116116,0.6437137137137137,0.8271571571571571
gamma,81.29732565899232,80.46185685685685,82.21634134134133,948.3056010100944,2.8645635049402544e-4,0.006358567062791008,0.006365016286919384,0.525995995995996,0.5161861861861862,0.5367867867867867
sigma,0.049510000000000005,0.04210751751751752,0.049510000000000005,261680.69006210414,6.562346471406554e-4,0.24222017144137267,0.24222106039112307,0.99,0.8389289289289289,0.99
tau_cases,0.99,0.9850950950950951,0.99,1649.746456442448,0.0011822935265022585,0.03462963053154597,0.034649807051904194,0.99,0.9850950950950951,0.99
tau_deaths,0.99,0.9841141141141141,0.99,538.2638656446455,0.0012883517597472682,0.021528943866301747,0.021567458687921846,0.99,0.9841141141141141,0.99
tau_seq_all,0.99,0.987057057057057,0.99,1522.5503909273016,8.005447388675273e-4,0.022524971146024832,0.022539192465751288,0.99,0.987057057057057,0.99
tau_seq_unit,0.99,0.987057057057057,0.99,35.042252138966454,0.004341284100338288,0.018027697490882465,0.018543047874139247,0.99,0.987057057057057,0.99
day_BA_one,9.105765765765765,8.364144144144143,9.847387387387387,1896.072466879407,3.022045058341849e-4,0.009490196951330916,0.009495007411181788,0.14537537537537537,0.1277177177177177,0.16303303303303304
day_BA_two,62.93628628628628,62.48993993993994,63.446396396396395,646.2773893300534,2.201503525724684e-4,0.004032268591261176,0.004038273909705627,0.8144044044044043,0.8075375375375375,0.8222522522522522
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
